Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.9,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000918445374963713,0.0051418978457623,0.00167127871504295,6964.43227691024,15476.5161709116,4865.94326971435
2.91,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000778096609725224,0.00511898524835478,0.00187048204284533,6987.550282735,15527.8895171889,5173.44864639363
2.92,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000670324971444652,0.00509885405682113,0.00206770722956144,6996.27081923839,15547.2684871964,5473.43340530044
2.93,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000609149285119529,0.00510250101445518,0.00228338774740577,7063.36131358011,15696.3584746225,5854.29036136998
2.94,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000614054787402989,0.00515890920607928,0.00254613291320485,7271.91391649079,16159.8087033129,6421.49816409493
2.95,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.000707837346793054,0.00530387978536921,0.00289161456512708,7752.3530424102,17227.451205356,7355.51717724216
2.96,1,0.12,1,0,1.65370909773287e-06,1,1,1,1,0.000895353237405625,0.00555933149652683,0.0033419437301234,8702.53717575519,19338.9715016782,0
2.97,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00112950420105758,0.00589574432914963,0.00386820218346989,10319.4756021007,22932.1680046682,197.075921588225
2.98,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00131523769112121,0.0062261775247026,0.00438445897855066,12558.8081351782,27908.4625226182,969.548128718633
2.99,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00137789870725965,0.00646565022548791,0.00480690623299855,14918.9066029506,33153.1257843348,2220.4409646079
3,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00131600231557045,0.00658827775960094,0.00511054017469683,16728.7221161319,37174.9380358488,3397.80305176149
3.01,NaN,NaN,1,0,1.65370909773287e-06,0,1,1,1,0.00122227998713403,0.00661819343270421,0.00531974973844275,17708.1398669531,39351.4219265625,4099.52520469076
3.02,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00104968595659897,0.00659274619560695,0.00547045782701705,18128.3963771597,40285.3252825771,4444.45953677955
3.03,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.000885865032502903,0.00653936418238967,0.00559077360523521,18071.2410242726,40158.3133872725,4444.77100164844
3.04,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.000749084160146405,0.00647889302242573,0.00570073185482864,17888.8255613412,39752.9456918694,4385.08737677346
3.05,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.000652436495902216,0.00643044695045974,0.00581872667918133,17729.4586615023,39398.7970255607,4366.52310744769
3.06,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.000612096076533455,0.00641858671755114,0.00596877025037884,17716.760786481,39370.5795255134,4465.22204501834
3.07,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.000651524197913027,0.00647805947533016,0.00618528449620665,18012.5122094924,40027.8049099831,4786.2030204584
3.08,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00079218805816545,0.00664584508450193,0.00650521044402227,18866.8588049963,41926.3528999918,5522.00818150484
3.09,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00102066591853485,0.00692777554517134,0.00693472090072348,20591.4562757483,45758.791723885,6987.99392187161
3.1,NaN,NaN,1,0,1.65370909773287e-06,1,1,1,1,0.00125927589765978,0.00726237764961476,0.00741314130913843,23321.6999213971,51825.999825327,9474.90213739503
