Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.17,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000228094244417164,-0.0291833974442993,-0.0718031093629431,1311487.53778405,2914416.75063122,1201789.04087189
2.18,1,0.25,1,0,2.69685615202136e-05,1,1,1,1,-0.000228515967011257,-0.0284772644651638,-0.0703403156104714,1256979.45781469,2793287.68403264,0
2.19,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000228856764413323,-0.0277883622355394,-0.0689034919690621,1204637.4182922,2676972.04064933,1240.83367903818
2.2,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000229132165520313,-0.027116268575615,-0.0674923384863482,1154381.57200049,2565292.3822233,4868.18389966725
2.21,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.00022935471935808,-0.026460571979982,-0.066106551014872,1106134.60166658,2458076.8925924,10743.5495467611
2.22,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.00022953456689481,-0.0258208712846472,-0.0647458217224365,1059821.67348902,2355159.27442004,18733.9429997283
2.23,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000229679903128022,-0.0251967753561114,-0.0634098395735107,1015370.38740312,2256378.63867359,28711.7390413421
2.24,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.00022979735050077,-0.0245879027992995,-0.0620982907834411,972710.72488003,2161579.38862229,40554.523166566
2.25,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000229892260662267,-0.0239938816817196,-0.0608108592470494,931774.994909227,2070611.09979828,54144.9400036085
2.26,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000229968958323054,-0.0234143492717083,-0.0595472269430522,892497.778694986,1983328.39709997,69370.5424260454
2.27,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230030938316318,-0.0228489517890058,-0.0583070743156163,854815.873501667,1899590.8300037,86123.6418275405
2.28,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230081024844714,-0.02229734416622,-0.057090080634258,818668.236004735,1819262.74667719,104301.159943996
2.29,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230121500169003,-0.0217591898199913,-0.055895924333202,783995.925441367,1742213.16764748,123804.482537579
2.3,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230154208602363,-0.0212341604308758,-0.0547242833312395,750742.046803087,1668315.65956242,144539.315199612
