Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
2.7,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000208930095537372,-0.00803827452597941,-0.0227865600698381,127000.950900607,282224.335334683
2.71,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000213029264988306,-0.00784734030335422,-0.0222803694134018,121414.27161294,269809.492473201
2.72,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.00021634183661496,-0.00766116236006159,-0.0217849989882868,116067.504410313,257927.787578472
2.73,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000219018752247033,-0.0074796055219563,-0.0213002406675328,110951.277806224,246558.395124942
2.74,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000221181989184636,-0.0073025415924034,-0.0208258888280663,106056.419583254,235680.93240723
2.75,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000222930118259809,-0.0071298484757597,-0.0203617405042439,101373.988569258,225275.530153906
2.76,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000224342795350489,-0.00696140945777535,-0.0199075955060423,96895.2969696246,215322.882154721
2.77,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000225484391008883,-0.00679711261307879,-0.0194632565084937,92611.9252824051,205804.278405345
2.78,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000226406923593198,-0.00663685031562718,-0.0190285291177152,88515.7314161749,196701.625369278
2.79,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000227152429554843,-0.00648051883262564,-0.01860322191787,84598.8553016042,187997.456225787
2.8,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000227754878886496,-0.00632801798615395,-0.0181871465025782,80853.7200230316,179674.933384515
2.81,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000228241723010999,-0.00617925086975702,-0.0177801174936375,77273.0302840569,171717.845075682
