Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
2.839,6.80049344871377e-09,0.000324323764408836,0.00107853619504308,-5.99755883400507e-07,0
2.849,2.54420219482846e-08,0.000316414646609831,0.00105265011599885,-5.99755883400507e-07,0
2.859,-9.45284545049057e-08,0.000308698863077547,0.00102738104221848,-5.99755883400507e-07,0
2.869,-5.73418858016378e-08,0.000301168318638254,0.001002714432466,-5.99755883400507e-07,0
2.879,-2.80254094839418e-08,0.000293822328455054,0.000978635966747208,-5.99755883400507e-07,0
2.889,-4.77098980922212e-09,0.00028665619987536,0.000955131793053745,-4.49218790317564e-07,1
2.899,1.38096915703531e-08,0.000279665398778871,0.000932188373744676,-4.49218790317564e-07,0
2.909,2.82664253701655e-08,0.000272845535475799,0.0009097924801979,-4.49218790317564e-07,0
2.919,3.95060659356826e-08,0.000266192340735466,0.000887931187161148,-4.49218790317564e-07,0
2.929,4.81394205628321e-08,0.00025970167155638,0.000866591866474126,-4.49218790317564e-07,0
2.939,-4.72996412394289e-08,0.000253369500868184,0.000845762181204159,-4.49218790317564e-07,0
2.949,-2.26615749532326e-08,0.000247189425354161,0.000825430079629667,-4.49218790317564e-07,0
2.959,-3.06619626107107e-09,0.00024116066419022,0.000805583703893624,-4.49218790317564e-07,0
2.969,1.2299995963093e-08,0.000235279404297285,0.000786211576324923,-4.49218790317564e-07,0
2.979,2.45215352269722e-08,0.000229541945424689,0.000767302482316591,-4.49218790317564e-07,0
2.989,3.3814779946995e-08,0.000223944704008297,0.000748845465169387,-4.49218790317564e-07,0
2.999,4.09477475615192e-08,0.000218484189152685,0.000730829821244816,-4.49218790317564e-07,0
3.009,-5.31112897251738e-08,0.000213157013824538,0.00071324509446015,-4.49218790317564e-07,0
3.019,-2.99871329645636e-08,0.000207957458503377,0.000696081071356574,-4.49218790317564e-07,0
3.029,-1.15785627579025e-08,0.000202885268666643,0.000679327692716227,-4.49218790317564e-07,0
3.039,2.99214090421489e-09,0.00019793722325326,0.000662975235837997,-4.49218790317564e-07,0
3.049,1.4616952606852e-08,0.000193110201159123,0.000647014201170064,-4.49218790317564e-07,0
3.059,2.35834399205916e-08,0.000188401179147078,0.000631435308081688,-4.49218790317564e-07,0
3.069,3.07152164313836e-08,0.000183807214720568,0.000616229490708395,-4.49218790317564e-07,0
3.079,3.60938289710104e-08,0.000179325457227161,0.00060138789335194,-4.49218790317564e-07,0
3.089,-5.70337801695128e-08,0.000174953127521969,0.000586901866419266,-4.49218790317564e-07,0
3.099,-3.5355380865303e-08,0.000170685154718294,0.000572762961802833,-4.49218790317564e-07,0
3.109,-1.82287516851057e-08,0.000166521793638506,0.000558962847308077,-4.49218790317564e-07,0
3.119,-4.65694298224599e-09,0.000162460382112476,0.00054549348546403,-4.49218790317564e-07,0
3.129,6.22056387288259e-09,0.00015849834720503,0.000532347023290798,-4.49218790317564e-07,0
3.139,1.46598777159425e-08,0.000154633199712633,0.000519515789030182,-4.49218790317564e-07,0
3.149,2.1387438447613e-08,0.000150862517381678,0.000506992288799625,-4.49218790317564e-07,0
3.159,2.65783979768076e-08,0.000147183954745753,0.000494769202785019,-4.49218790317564e-07,0
3.169,3.0572103833577e-08,0.00014359522780876,0.000482839381901815,-4.49218790317564e-07,0
3.179,-6.14959304268737e-08,0.000140094116550084,0.000471195844045033,-4.49218790317564e-07,0
3.189,-4.11465007264395e-08,0.000136676141628521,0.000459831770553951,-4.49218790317564e-07,0
3.199,-2.4966103577638e-08,0.000133342017122913,0.000448740423057973,-4.49218790317564e-07,0
3.209,-1.20607566934959e-08,0.000130089596502969,0.00043791531896947,-4.49218790317564e-07,0
3.219,-1.83919326113877e-09,0.000126916807387378,0.000427350124522975,-1.98194877532935e-07,1
3.229,6.22809418195173e-09,0.000123821642353216,0.000417038652212247,-1.93345956734231e-07,1
3.239,1.26523454594485e-08,0.000120802155845681,0.000406974857999865,-1.93345956734231e-07,0
3.249,1.76548552373369e-08,0.000117856462223821,0.000397152838516529,-1.93345956734231e-07,0
3.259,2.14446208834799e-08,0.000114982727228523,0.000387566828289411,-1.93345956734231e-07,0
3.269,2.43607220900609e-08,0.00011217916642957,0.000378211196772799,-1.93345956734231e-07,0
3.279,2.66042957745458e-08,0.000109444047182782,0.000369080445427359,-1.93345956734231e-07,0
3.289,2.82696204115491e-08,0.000106775684003097,0.000360169204966808,-1.93345956734231e-07,0
3.299,2.94015916838354e-08,0.000104172434808546,0.000351472232540292,-1.93345956734231e-07,0
3.309,3.01231483940048e-08,0.000101632698657487,0.000342984408882543,-1.93345956734231e-07,0
3.319,3.05812393535969e-08,9.91549166485463e-05,0.000334700735484198,-1.93345956734231e-07,0
3.329,3.08520644415248e-08,9.67375714809223e-05,0.000326616331890121,-1.93345956734231e-07,0
3.339,3.09197087927489e-08,9.43791847145126e-05,0.000318726433075357,-1.93345956734231e-07,0
3.349,3.07535543673733e-08,9.20783135758181e-05,0.000311026386817116,-1.93345956734231e-07,0
3.359,-1.22493490169358e-08,8.9833549729575e-05,0.000303511651047328,-1.93345956734231e-07,0
3.369,-4.3658481541935e-09,8.76424802274454e-05,0.0002961777912539,-1.93345956734231e-07,0
3.379,1.91403595133857e-09,8.55050365921997e-05,0.00028902044230885,-1.93345956734231e-07,0
3.389,6.84767590761277e-09,8.34198719424205e-05,0.000282035386553843,-1.93345956734231e-07,0
3.399,1.06890718536386e-08,8.1385678519633e-05,0.00027521850486135,-1.29082619512112e-07,1
3.409,1.3664024812542e-08,7.940118665197e-05,0.000268565774595649,-1.29082619512112e-07,0
3.419,1.58900004856704e-08,7.74651631376615e-05,0.000262073267608246,-1.29082619512112e-07,0
3.429,1.76328791030267e-08,7.55764077136652e-05,0.000255737148246607,-1.29082619512112e-07,0
3.439,1.88857506173016e-08,7.37337558717748e-05,0.000249553671310035,-1.29082619512112e-07,0
3.449,1.98151448215933e-08,7.19360713341301e-05,0.000243519180172363,-1.29082619512112e-07,0
3.459,-8.75714497193011e-09,7.01822495944414e-05,0.000237630104710818,-1.29082619512112e-07,0
3.469,-3.18466409323947e-08,6.84705015130874e-05,0.000231882959427513,-1.29082619512112e-07,0
3.479,-2.15484365276993e-08,6.67999347486553e-05,0.000226274317046974,-1.29082619512112e-07,0
3.489,-1.33311523988567e-08,6.51703592382182e-05,0.000220800837297732,-1.29082619512112e-07,0
3.499,-3.55429329261535e-08,6.35807245806622e-05,0.000215459288029773,-1.29082619512112e-07,0
3.509,-2.48286877882809e-08,6.20293146648084e-05,0.000210246511975073,-1.29082619512112e-07,0
3.519,-1.62264817094853e-08,6.05160002708686e-05,0.00020515940132899,-1.29082619512112e-07,0
3.529,-3.78826717047069e-08,5.90398008570535e-05,0.000200194950517873,-1.29082619512112e-07,0
3.539,-2.70046087794973e-08,5.75990733888376e-05,0.000195350223471214,-1.29082619512112e-07,0
3.549,-1.82717236700959e-08,5.61937462247098e-05,0.000190622328498087,-1.29082619512112e-07,0
